milling_time,hotpress_temp,anneal_temp,anneal_time,hardness450,UTS,grain_size,aT,microhardness,density,alloy
20,450,400,2,400,881,20.0,0.4045,440,2.87,Al-Mn-Zr
20,450,400,2,230,698,18.0,0.4064,345,2.88,Al-Mn-Zr-Ce
20,450,400,2,230,733,16.0,0.4041,300,2.89,Al-Mn-ZR-Y
20,400,400,2,378,712,25.0,0.4046,425,2.77,Al-Mn-Zr
20,400,400,2,210,745,22.0,0.4044,328,2.78,Al-Mn-Zr-Ce
20,400,400,2,206,673,20.0,0.4042,314,2.79,Al-Mn-ZR-Y
20,350,400,2,350,641,28.0,0.404,387,2.7,Al-Mn-Zr
20,350,400,2,204,990,26.0,0.4038,275,2.71,Al-Mn-Zr-Ce
20,350,400,2,198,777,24.0,0.4036,265,2.71,Al-Mn-ZR-Y
20,450,450,2,458,898,27.02777778,0.4034,465,2.88,Al-Mn-Zr
20,450,450,2,249,712,28.01111111,0.4032,332,2.87,Al-Mn-Zr-Ce
20,450,450,2,237,758,28.99444444,0.403,306,2.89,Al-Mn-ZR-Y
20,450,350,2,350,695,29.97777778,0.4028,392,2.69,Al-Mn-Zr
20,450,350,2,225,877,30.96111111,0.4026,319,2.69,Al-Mn-Zr-Ce
20,450,350,2,210,945,31.94444444,0.4024,303,2.71,Al-Mn-ZR-Y
20,400,450,2,425,720,32.92777778,0.4022,438,2.722380952,Al-Mn-Zr
20,400,450,2,235,765,33.91111111,0.402,345,2.714095238,Al-Mn-Zr-Ce
20,400,450,2,220,693,34.89444444,0.4018,326,2.705809524,Al-Mn-ZR-Y
20,400,350,2,332,690,35.87777778,0.4016,365,2.69752381,Al-Mn-Zr
20,400,350,2,208,642,36.86111111,0.4014,322,2.689238095,Al-Mn-Zr-Ce
20,400,350,2,202,635,37.84444444,0.4012,301,2.697266667,Al-Mn-ZR-Y
20,350,450,2,383,639,38.82777778,0.4045,398,2.707266667,Al-Mn-Zr
20,350,450,2,195,762,39.81111111,0.4064,278,2.724380952,Al-Mn-Zr-Ce
20,350,450,2,189,987,40.79444444,0.4041,264,2.715609524,Al-Mn-ZR-Y
20,350,350,2,375,695,41.77777778,0.4046,398,2.747809524,Al-Mn-Zr
20,350,350,2,180,877,42.76111111,0.4044,210,2.71952381,Al-Mn-Zr-Ce
20,350,350,2,175,945,43.74444444,0.4042,203,2.71312381,Al-Mn-ZR-Y
20,450,400,4,390,874,44.72777778,0.404,410,2.722952381,Al-Mn-Zr
20,450,400,4,215,688,45.71111111,0.4038,254,2.714666667,Al-Mn-Zr-Ce
20,450,400,4,210,722,46.69444444,0.4036,232,2.706380952,Al-Mn-ZR-Y
20,400,400,4,365,702,47.67777778,0.4034,389,2.698095238,Al-Mn-Zr
20,400,400,4,200,731,48.66111111,0.4032,228,2.699809524,Al-Mn-Zr-Ce
20,400,400,4,196,662,49.64444444,0.403,207,2.68152381,Al-Mn-ZR-Y
20,350,400,4,337,633,40.0,0.4028,398,2.673238095,Al-Mn-Zr
20,350,400,4,190,764,38.0,0.4026,219,2.684952381,Al-Mn-Zr-Ce
20,350,400,4,181,980,22.0,0.4024,211,2.696666667,Al-Mn-ZR-Y
20,450,450,4,430,865,25.0,0.4022,445,2.688380952,Al-Mn-Zr
20,450,450,4,230,651,22.0,0.402,264,2.680095238,Al-Mn-Zr-Ce
20,450,450,4,225,710,32.0,0.4018,257,2.693180952,Al-Mn-ZR-Y
20,450,350,4,320,685,45.0,0.4016,348,2.692352381,Al-Mn-Zr
20,450,350,4,212,862,42.0,0.4014,237,2.715238095,Al-Mn-Zr-Ce
20,450,350,4,206,928,40.0,0.4012,229,2.706952381,Al-Mn-ZR-Y
